,,,,,,,,,,,,,,,
organisationunitname,November 2018 Currently on ART - below 1 year,November 2018 Currently on ART - Female above 15 years,November 2018 Currently on ART - Female Below 15 years,November 2018 Currently on ART - Male above 15 years,November 2018 Currently on ART - Male below 15 years,November 2018 MOH 731   On ART_<1       HV03-028,November 2018 MOH 731   On ART_1-9       HV03-029,November 2018 MOH 731   On ART_10-14  (F)         HV03-031,November 2018 MOH 731   On ART_10-14(M)         HV03-030,November 2018 MOH 731   On ART_15-19  (F)         HV03-033,November 2018 MOH 731   On ART_15-19(M)         HV03-032,November 2018 MOH 731   On ART_20-24  (F)         HV03-035,November 2018 MOH 731   On ART_20-24(M)         HV03-034,November 2018 MOH 731   On ART_25+  (F)         HV03-037,November 2018 MOH 731   On ART_25+(M)         HV03-036
A.C.K Butonge Dispensary,,,,,,,,,,,,,,,
Ace Africa (k) Wellness Centre,,,,,,,,,,,,,,,
ACK Dr Pike Roper Medical Center,,,,,,,,,,,,,,,
Aga Khan Health Service Bungoma Centre,,,,,,,,,,,,,,,
Almer Medical Services,,,,,,,,,,,,,,,
Alphine Health Care Medical Clinic,,,,,,,,,,,,,,,
Ararat Medical Clinic,,,,,,,,,,,,,,,
Bahai Dispensary,,57,3,7,3,,,,,,,,,,
Balcurt Medical Clinic,,,,,,,,,,,,,,,
Baptist Medical Center,,,,,,,,,,,,,,,
Baptist Medical Center(Chwele),,,,,,,,,,,,,,,
Benglad Family Care Clinic,,,,,,,,,,,,,,,
Bewa Medical clinic,,,,,,,,,,,,,,,
Bisunu Dispensary,,,,,,,,,,,,,,,
Bituyu Dispensary,,20,,1,,,,,,,,,,,
Bliss GVS Health Care Kimilili,,,,,,,,,,,,,,,
Bokoli Base Clinic,,,,,,,,,,,,,,,
Bokoli Hospital,,189,19,67,13,,,,,,,,,,
Brillian Doctors Plaza Hospital,,,,,,,,,,,,,,,
Buckner Medical Clinic,,,,,,,,,,,,,,,
Bukembe Dispensary,2,248,15,74,20,,,,,,,,,,
Bukokholo Dispensary,,9,1,3,2,,,,,,,,,,
Bulondo Dispensary,,61,8,23,3,,,,,,,,,,
Bumula Sub County Hospital,,207,23,82,12,,,,,,,,,,
Bungoma Beyond Zero Mobile Unit,,,,,,,,,,,,,,,
Bungoma Children's Clinic,,,,,,,,,,,,,,,
Bungoma County Referral Hospital,,2122,111,807,89,,104,52,44,49,37,64,17,2009,753
Bungoma West Medical Services,,,,,,,,,,,,,,,
Butieli Dispensary,,,,,,,,,,,,,,,
Calvary Hope Medical Centre,,,,,,,,,,,,,,,
Carmel Dispensary,,,,,,,,,,,,,,,
Carmel Dispensary,,,,,,,,,,,,,,,
